,Tweet
132,सैमसंग मोबाइल इतना घटिया हो गया हैं कि बस पब्लिक चुतिया बन रही हैं वारंटी के नाम पर बस बेवकूफ बनाया जा रहा हैं । प्लीज इसका बायकॉट करें । samsung mobile
133,"Samsung का Galaxy M42 स्मार्टफोन लॉन्च होने वाला है। हालांकि अभी कंपनी ने इसकी तारीख नहीं बताई #HindiNews #MobileNews #SamsungMobile #SamsungGalaxyM425GSmartphone
https://t.co/P9VXmWiY24"
134,"जानें कब होगी 6000mAh बैटरी, 90Hz डिस्प्ले और 48MP कैमरा वाले सैमसंग के इस नए फोन की सेल
#Samsung #SamsungGalaxyM12 
https://t.co/ywbdkgx0Yg"
135,@ManojSaru @SamsungIndia Monaj bhai I think camera is the best because Samsung mobile hang toh karta he lakin  camera bad nahi ho sakta .
136,"@SamsungIndia Samsung कम्पनी का Mobile फोन का दाम क्यों ज्यादा होता है?कम कीजिए न।दुसरी कम्पनी का देखिए न,दश हजार रुपये कितने Facility वाला आता है। 4GB,64Rom,48 mp cemera,fingerprint के । मैं भी एक Samsung   user हूँ।"
137,"RT @algo_121: @malaradnik Dil se to pooch lete.
Mauko kahan dhoonde re bande.....

https://t.co/MM08R9sZ8R"
138,@ManojSaru vo thik hai magar mobile mera samsung kab milega
139,@Imsurbhis @angrythepla @Nishant0781 @PainKillerParth @_Jiyaaa7 @indianyuvak1 @Pavan_07goyal @Atul__kesar Samsung ka mobile hai😅😳
140,@ManojSaru @SamsungIndia Ye offline ke liye bohot aacha mobile he samsung ki taruf se or Manoj Saru bhi ham logo ke liye giveaway late rehete he iske liye aap ka dil se Thank you or technology ke bare me bhi ham sab ko update rakhte he Thank you
141,"@SamsungIndia @SamsungMobile 

कृपया मुझे इस बात की जानकारी दीजिए की मैं Samsung site से एक mobile purchase करना चाह रहा हूँ और अपना पुराना device exchange भी करना चाह रहा हूँ तो क्या वह आप हर condition में ग्रहण करेंगे??"
142,@Mango_Man_ Koi Samsung ka de rahey hain mobile mujhe...?
143,6000mAh की बैटरी के साथ सैमसंग ने लॉन्च किया गैलेक्सी एम12  news in hindi https://t.co/ctHDbzvDj4
144,"सैमसंग ने बढ़ा दी इस सस्ते फोन की कीमत, जानिए कितना हुआ प्राइस 

@SamsungMobile 
@SamsungIndia 
#SamsungGalaxyM02

https://t.co/0wBbInPgnr"
145,"Samsung ने भारत में 6000mAh बैटरी वाला नया स्मार्टफोन Samsung Galaxy M12 लॉन्च कर दिया #MobileNews #SamsungGalaxyM12
https://t.co/0k1mgdmYP7"
146,"RT @aajtak: सैमसंग के इस नए फोन को ग्राहक शुरू में 9,999 रुपये में खरीद पाएंगे 

#Technology

https://t.co/fH8MbjCRUL"
147,"सैमसंग के इस नए फोन को ग्राहक शुरू में 9,999 रुपये में खरीद पाएंगे 

#Technology

https://t.co/fH8MbjCRUL"
148,"Samsung hai to Bharosa hai
Ye mobile sab wade poore karega
#SamsungGalaxyM12    https://t.co/HOkX4LeMng"
149,"Samsung Meri pasandida company hai aur iska new mobile mujhe bahut pasand aaya hai
#SamsungGalaxyM12    https://t.co/9LWGLiWxKn"
150,"RT @Dolly_ishra: Wow yaar samsung ke Mobile hote hi acche hai aur ab mein ye 
#SamsungGalaxyM12 zaroor lungi"
151,"Wow yaar samsung ke Mobile hote hi acche hai aur ab mein ye 
#SamsungGalaxyM12 zaroor lungi"
152,"RT @mataonline: Samsung Galaxy M12 भारतात लाँच, 6000mAh सह हे जबरदस्त फीचर्स, फोनची किंमत पाहा
#SamsungM12 
https://t.co/9AixaA8Rb5"
153,"Samsung Galaxy M12 भारतात लाँच, 6000mAh सह हे जबरदस्त फीचर्स, फोनची किंमत पाहा
#SamsungM12 
https://t.co/39WQoi7jmh"
154,"Samsung Galaxy M12 भारतात लाँच, 6000mAh सह हे जबरदस्त फीचर्स, फोनची किंमत पाहा
#SamsungM12 
https://t.co/9AixaA8Rb5"
155,Samsung mobile mujhe bahut pasand hai aur iska camera quality bahut acchi hai
156,"सैमसंग ने लॉन्च किया धांसू स्मार्टफोन, 10 हजार रुपये से कम में खरीद सकते हैं आप 

#Samsung 
#SamsungM12 
@SamsungMobile 

https://t.co/ni09F4Qd1F"
157,@techzoned_ @GyanTherapy Oh... Mujhe bi laga Samsung kabse Value for money mobile dena shuru kiya 😂🤣
158,"दमदार फीचर वाला सैमसंग का किफायती फोन आज होगा लॉन्च, जानिए कितनी होगी कीमत

#Samsung 
#SamsungGalaxy 
@SamsungMobile 

https://t.co/OJ0B6f5M2C"
159,"RT @aajtak: Samsung कल भारत में लॉन्च करेगा 90Hz डिस्प्ले वाला सबसे सस्ता स्मार्टफोन 

https://t.co/RnCM0kL3CS"
160,"Samsung कल भारत में लॉन्च करेगा 90Hz डिस्प्ले वाला सबसे सस्ता स्मार्टफोन 

https://t.co/RnCM0kL3CS"
161,@GyanTherapy @Sanzzzev23 Bhai aap samsung mobile use kar rahe hai kya??
162,"Samsung Galaxy A82 स्मार्टफोन स्नेपड्रेगन चिपसेट और 5G सपोर्ट के साथ हो सकता है लॉन्च, जानें खूबियां
#Samsung #GalaxyA80
https://t.co/NpMLEiUqql"
163,"Samsung Galaxy S20 FE सह या स्मार्टफोन्सवर ३१ टक्क्यांपर्यंत बंपर सूट
#SamsungGalaxy 
https://t.co/HekDWQQYAA"
164,"Samsung Galaxy S20 FE सह या स्मार्टफोन्सवर ३१ टक्क्यांपर्यंत बंपर सूट
#SamsungGalaxy 
https://t.co/MYWVnoH7Cx"
165,@gadgets4you10 @ASUS_ROG_IN Nice mobile BHAI
166,"Asus ने अपनी नई असूस रोग फोन 5 सीरीज को भारत में किया लांच #MobileNews #AsusRogPhone5
https://t.co/nQ0259pXym"
167,"भारत में लॉन्च हुई Asus की गेमिंग स्मार्टफोन सीरीज ROG Phone 5, जानिए फीचर्स और कीमत 

#Asus #AsusGamingSmartphoneSeries #RogPhone5 #RogPhone5Features 

https://t.co/4AKI0TkqKn"
168,Asus ने लॉन्च किया दुनिया का पहला 18GB रैम वाला स्मार्टफोन  news in hindi https://t.co/BAQ80uI1lz
169,"RT @aajtak: गेमिंग के दीवानों के लिए है ROG Phone 5,  पढ़ें इस बार क्या है खास. फीचर्स, स्पेसिफिकेशन्स और कीमत... 

https://t.co/47I7ljjBC2"
170,"गेमिंग के दीवानों के लिए है ROG Phone 5,  पढ़ें इस बार क्या है खास. फीचर्स, स्पेसिफिकेशन्स और कीमत... 

https://t.co/47I7ljjBC2"
171,"आसुस लाया जबरदस्त गेमिंग स्मार्टफोन, मिलेगी 18GB तक RAM, जानें डिटेल...

@ASUSIndia
@ASUS
@ASUS_ROG_IN
#AsusROG5
#ROGPhone5

https://t.co/CEC3gfbUDw"
172,"आज लॉन्च होगा दमदार गेमिंग स्मार्टफोन, जानिए क्या होंगे फीचर 
@ASUSIndia 
#ROGPhone5 
#AsusROG 

https://t.co/ZXjltOknRX"
173,"RT @pnbindia: जब पास होगा #PNBGenieMobileApp तो Cards से जुड़ी हर wish चुटकियों में होगी पूरी।

App डाउनलोड करने के लिए विज़िट करें:

https…"
174,"जब पास होगा #PNBGenieMobileApp तो Cards से जुड़ी हर wish चुटकियों में होगी पूरी।

App डाउनलोड करने के लिए विज़िट करें:

https://t.co/x4OxliZJEL ( Android के लिए) 

https://t.co/H6cHJaxHAm ( iOS के लिए) https://t.co/gcxrL98sB8"
175,"Amazon Apple Days Sale 2021: अमेजन पर एपल प्रोडक्ट्स की सेल शुरू, शानदार डिस्काउंट में खरीदें iPhone - Nai Dunia https://t.co/kbuBxekKug"
176,"@vaibhavUP65 Indian mobile companies, ab to sudhar jao..nahi to apple tumhe indian market se hi wipe out kar dega..achchi technology n invention ki mobiles khud bana lete, global market me pakad rakhte, to ye naubat kyu aati? 😡😡🔥🔥"
177,"RT @aajtak: इस पॉपुलर ऐप में गंभीर खामी मिली, कोई भी ऐक्सेस कर सकता था कॉल रिकॉर्डिंग... 
#Technology
https://t.co/mcgaVbCIbi"
178,"इस पॉपुलर ऐप में गंभीर खामी मिली, कोई भी ऐक्सेस कर सकता था कॉल रिकॉर्डिंग... 
#Technology
https://t.co/mcgaVbCIbi"
179,"#CyberNGO #Hindi version
Flubot नाम का एक मालवेर लोगों के फ़ोन में फ़ेक DHL, FedEx, ओर Chrome, ऐप के नाम से फेल रहा है। यह ऐप लोगों के फ़ोन में से बैंकिंग ओर क्रेडिट कार्ड की जानकारी चोरी कर...(ream more) #virus #Android #PlayStore #Google #mobile #Malware https://t.co/teGQraK1MM"
180,"@pushpendrakum @smartview @PushpendraTech @smartviewai Aaj se dedh saal pahle apne mobile me ek gem download kiya tha bitcoin blast biling  jisse 1000 satoshi roj milte the 2week me 10k-15k zebpay se cell karta tha 2-3 manth ke baad is ki prize google pe dekha 8,9,10,11 lakha badhta gya  tab pta chala fir shocha  ye haat nhi ayegi"
181,"क्या आपने डाउनलोड किया – नहीं किया तो तुरंत डाउनलोड करे –
FREE MOBILE APPS – Rojgar Result
सभी जानकारी मिलेगी – अपडेट
Download Now – https://t.co/Qvt76kCNpZ https://t.co/0G6Cio7aYc"
182,"Mansukh Hiran Death Mystery: सचिन वझे को कोर्ट में पेश करने की तैयारी, पर कहां गया मनसुख हिरेन का मोबाइल? - Navbharat Times https://t.co/NtmYr2Gz0e"
183,"#Grind #Emiway
अपनी उम्र का पता करें इस ऐप से | ये बिलकुल फ्री ऐप है | डाउनलोड करने के लिए नीचे दी गयी फोटो पे क्लिक करें |
This free mobile app will help you to find your correct age.
 https://t.co/z84qeWmNBu https://t.co/BpzPLkI0Wx"
184,"#Toofan 
अपनी उम्र का पता करें इस ऐप से | ये बिलकुल फ्री ऐप है | डाउनलोड करने के लिए नीचे दी गयी फोटो पे क्लिक करें |
This free mobile app will help you to find your correct age.
 https://t.co/z84qeWmNBu https://t.co/byNMiiKzqD"
185,"#MSDhoni 
अपनी उम्र का पता करें इस ऐप से | ये बिलकुल फ्री ऐप है | डाउनलोड करने के लिए नीचे दी गयी फोटो पे क्लिक करें |
This free mobile app will help you to find your correct age.
 https://t.co/z84qeWmNBu https://t.co/l1X8zWFGie"
186,"RT @AmarUjalaNews: काम का फीचर: गूगल मैप में गुमनाम सड़कों की जानकारी दे सकेंगे आप
@googlemaps
https://t.co/rEUPtVKUtT"
187,"काम का फीचर: गूगल मैप में गुमनाम सड़कों की जानकारी दे सकेंगे आप
@googlemaps
https://t.co/rEUPtVKUtT"
188,"पटना में मोदी की रैली में धमाका करने वाले आतंकी से जुड़े एंटीलिया केस के तार, जानें तिहाड़ में कैसे रची साजिश? - Hindustan https://t.co/oaoewK5KX9"
189,"@Shubhrastha @SupriyaShrinate @INCIndia Sadhvi ji ka pravachan is link par jaakar sun sakte hai!
https://t.co/NvU8AmOvgC https://t.co/e3ruSbFDhA"
190,"अब Google Pay पर रहेगा यूजर्स का अ धिक कंट्रोल, ट्रांजेक्शन हिस्ट्री कर सकेंगे डिलीट, जानिए नए फीचर्स के बारे में 

#GooglePay #GooglePayNewFeatures

https://t.co/7HmvE6IQkJ"
191,"ममहाशिवरात्रि
https://t.co/hS1Rrrwwib"
192,"महाशिवरात्रि 
https://t.co/h5t4nq2g0j"
193,"@NayantaraRai @vijayshekhar @Paytm gadhe ke bacche, tere tatton se 3 mahine mein refund process nai hua, banayega tu full stack financial ......har doosre din khada ho jata bheekh ka katora leke google se bacha lo, phone pe se bacha lo. ghatiya aadmi, maha ghatiya company. worst customer care among mobile wallets"
194,"मोबाइल पर नहीं मिल रहा ओटीपी SMS, ये वजह बनीं मुसीबत, डिजिटल लेनदेन में हो रही समस्या
https://t.co/jWiVaDBjWD
 
 Via  Dainik Jagran App.

Click to download   
https://t.co/9RT25wyXzn"
195,"MP राहुल शिवाले ने आज कोविद ट्रैकर की योजना की शुरुवात की @rahulshewale
@ShivSena
https://t.co/IT0YIeiCYR

https://t.co/lAzCOGgUGw
Download Mobile App ➡️ https://t.co/1VTWJBnlC0 https://t.co/Tj6iYwyVI8"
196,"Lat tumhari lagi he,
ilzam mobile per aata he. ❤️"
197,RT @EktaSon84818609: Motorola ने भारत में मंगलवार को अपने दो नए स्मार्टफोन्स Moto G30 और Moto G10 Power को लॉन्च किया. Moto G30 में 64MP…
198,Motorola ने भारत में मंगलवार को अपने दो नए स्मार्टफोन्स Moto G30 और Moto G10 Power को लॉन्च किया. Moto G30 में 64MP प्राइमरी कैमरा और 90Hz डिस्प्ले जैसे फीचर्स दिए गए हैं. इस फोन की कीमत 11 हजार रु... via @aajtak https://t.co/SDyjoqpIUT
199,"RT @aajtak: Moto G30 की कीमत 10,999 रुपये रखी गई है और इसमें 64MP कैमरा और 90Hz डिस्प्ले जैसे फीचर्स दिए गए हैं
#Technews
https://t.co/d4qT…"
200,"शानदार फीचर्स के साथ Motorola के दो नए स्मार्टफोन्स भारत में लॉन्च, कीमत 9,999 रुपये से शुरू https://t.co/0hKNd4mySU"
201,"Moto G30 की कीमत 10,999 रुपये रखी गई है और इसमें 64MP कैमरा और 90Hz डिस्प्ले जैसे फीचर्स दिए गए हैं
#Technews
https://t.co/d4qTCUHp1x"
202,"मोटोरोला ने लॉन्च किए दो सस्ते स्मार्टफोन, शाओमी और रियलमी को मिलेगी टक्कर
#Motorola #MotoG30 #MotoG10Power
https://t.co/sk75hB4qeE"
203,"@LoveSha91116420 @confusedvichar ले ये रहा लिंक तेरे लिए 😀😀 बिना आरक्षण वाले जैन! 
मैं जनरल की बात कर रहा हु तू जैन में उलझा रहा है आरक्षण के टॉपिक से डायवर्ट करने को ! जातिवाद मिटा ना ? 

https://t.co/D2qaEddGAq"
204,"RT @aajtak: Motorola के 9,999 रुपये कीमत वाले नए स्मार्टफोन को खरीदने का मौका आज, मिलेंगे 48MP कैमरा और 6,000mAh बैटरी जैसे फीचर्स 
#techno…"
205,"Motorola के 9,999 रुपये कीमत वाले नए स्मार्टफोन को खरीदने का मौका आज, मिलेंगे 48MP कैमरा और 6,000mAh बैटरी जैसे फीचर्स 
#technology #smartphones 
https://t.co/8AsiEzS843"
206,"उत्तर प्रदेश माध्यमिक शिक्षा सेवा चयन बोर्ड में 12603 Post की नौकरी - देखे  FREE Mobile Apps पर 
https://t.co/Qvt76kCNpZ"
207,"@Trishool20 बस भयानक, मैंने डायनामिक ब्लैक ऑर्डर किया, रंग उत्तम दर्जे का, पतला और हल्का वजन है
#OppoA15s #Oppo #mobile"
208,"@ManojSaru @oppomobileindia Bahut mast he yah oppo ka mobile 👌
ek dam fadu he..
Good night kiyuki rat ke 12:52 ho rhe he 😔"
209,"OnePlus 9 Series के दमदार फीचर का हुआ खुलासा, जानिये क्या है इसमें खास : https://t.co/3X10c5WNMD

#OnePlus #OnePlusSeries #OnePlus9 #GadgetGallery #Photos #BGR https://t.co/jVMDeYsIaa"
210,"OnePlus 9 Series के दमदार फीचर का हुआ खुलासा, Snapdragon 888 प्रोसेसर के साथ आएगा फोन

@OnePlus_IN 
@qualcomm_in 
#OnePlus9Series 

https://t.co/eLavZ86Y9S"
211,"RT @NbtTech: सामने आई OnePlus 9 Pro के डिस्प्ले से जुड़ी अहम जानकारियां, फ्लूइड डिस्प्ले 2.0 समेत हैं कई खूबियां
https://t.co/i64VNTyd2k ht…"
212,"सामने आई OnePlus 9 Pro के डिस्प्ले से जुड़ी अहम जानकारियां, फ्लूइड डिस्प्ले 2.0 समेत हैं कई खूबियां
https://t.co/i64VNTyd2k https://t.co/DfkIkMCown"
213,"RT @aajtak: भारत में इस महीने लॉन्च होंगे ये स्मार्टफोन्स, देखें लिस्ट 
#Technology
https://t.co/uVemkwudKa"
214,"अब @OnePlus_IN एक बार फिर से स्मार्टफाेन के काेर फीचर कहे जाने वाले कैमरे पर और ज्यादा फाेकस कर रही है 

https://t.co/HIOcCjkGLn"
215,"@TechnicalGuruji Samsung jyada famous hai magar sub OnePlus or apple prefer karte hai kyuki bohot zyada price rehta 
Hai to best budget is best baki mobile mangna nahi hai aap se acha nahi lagta"
216,"अब OnePlus एक बार फिर से स्मार्टफाेन के काेर फीचर कहे जाने वाले कैमरे पर और ज्यादा फाेकस कर रही है 
https://t.co/HIOcCjkGLn"
217,"भारत में इस महीने लॉन्च होंगे ये स्मार्टफोन्स, देखें लिस्ट 
#Technology
https://t.co/uVemkwudKa"
218,"@ManojSaru @oppomobileindia Iske liye bahot bahot sukriya apka sir ji. 
Android mobile sasta hone karan yahi oppo mobile phone hi jo ki sabhi Android mobile ke saste hone ka credit bhi isi (oppo) phone ko jata hi. Thanks sir ji"
219,@TechnicalGuruji Lekin Bhai Aapka thopda tendha kion dikh Raha he zaroor Aapne oppo mobile se photo khincha he
220,"@TrakinTech @oppomobileindia Thanks sir ji. Aisa sabhi log kahte hi ki oppo ka mobile chalate chalate bahot garm ho jata hi please sir ji app kabhi iske bare me video banakar jarur bataiye. Nameste sir ji 

App aise hi swasth rhiye"
221,@Aneeka_siddiqui Oppo ka mobile bech diya na is liy 🙁🙁
222,"Oppo india yaar gift bhi kar diya karo mobile kabhi kabhi 😂
#OPPOF19ProSeries #OPPOReno5Pro5G #OPPOReno5Launch https://t.co/Hg49haSy56"
223,"RT @NbtTech: दमदार प्रोसेसर के साथ 31 मार्च को आ रहा Realme GT Neo, अब तक सामने आई ये जरूरी डीटेल्स
https://t.co/r470DTt5gf https://t.co/5X…"
224,"दमदार प्रोसेसर के साथ 31 मार्च को आ रहा Realme GT Neo, अब तक सामने आई ये जरूरी डीटेल्स
https://t.co/r470DTt5gf https://t.co/5XWshxlPZ2"
225,"Realme Narzo 30 जल्द होगा लॉन्च, मिलेंगे 5G नेटवर्क समेत ये खास फीचर्स

#RealmeNarzo305G @realmeIndia 

https://t.co/DHCfWMc7lZ"
226,"रियलमी के सबसे पावरपुल स्मार्टफोन को किया गया बैन, गड़बड़ी करने का लगा आरोप 
@realmeIndia 
#RealmeGT 
#antutu 

https://t.co/byr7LCaOrL"
227,"RT @NbtTech: Realme ला रही एक और सस्ता 5G स्मार्टफोन Realme Narzo 30, देखें डीटेल
https://t.co/72hNeWixNP https://t.co/TIWCHf1Q52"
228,"Realme ला रही एक और सस्ता 5G स्मार्टफोन Realme Narzo 30, देखें डीटेल
https://t.co/72hNeWixNP https://t.co/TIWCHf1Q52"
229,"RT @NbtTech: 23 मार्च को लॉन्च होगा Realme C25, 6000 mAh बैटरी समेत फोन के खास फीचर्स कंफर्म
https://t.co/nYBN7Xqz8Z https://t.co/tOfrXM062V"
230,"23 मार्च को लॉन्च होगा Realme C25, 6000 mAh बैटरी समेत फोन के खास फीचर्स कंफर्म
https://t.co/nYBN7Xqz8Z https://t.co/tOfrXM062V"
231,@TweetToDheeraj @MadhavSheth1 Ghata realme wale chutiya h redmi ko takker dene ki soch rh hai 😂 redmi jaise tgde phone bhi lunch karne hote hai bhai 😒sirf kh thodi hota hai wo hi purana 720g and g95 de rh hai or badi si chin mobile me F
232,"भारत में 24 मार्च को लॉन्च होगी रियलमी 8 सीरीज़, मिलेगा 108MP कैमरा  news in hindi https://t.co/O7n1WtfhFw"
233,NOKIA: aasa mobile phone banata hi ni jo tooty 🤦🏻‍♂️ https://t.co/kuQvvnyEJ6
234,"@akshaykumar @vikramix Sir mera ek chota sa kaam kar do mere mobile ka recharge khatm ho gaya hai please recharge karwa do mera mob no., 9373284311 Jio ka no. Hai"
235,Mere mobile ka recharge khatm ho gaya hai koi to recharge karwa do please my Jio no. 9373284311
236,@SonuSood Sir mera chota sa kaam kar do mere mobile ka recharge khatm ho gaya hai please recharge karwa dijiye mera jio no. 9373284311
237,"@reliancejio 
#JioFiber
नमस्ते महोदय
मेरा नाम रोहित है और मैं राजस्थान के अलवर जिले से हूं। मैं आपसे निवेदन करना चाहता हूं कि हमारे क्षेत्र में आपकी jio fibber सर्विस उपलब्ध नहीं है और मैं और मेरे आस पास के परिवार के सदस्य यह सर्विस उपयोग करना चाहते हैं|
My mobile 7014267677 https://t.co/Ku3fhNWD83"
238,"@JioCare Sir मै आपसे फिर से बोल रहा हूं network ठीक होगा या नहीं अगर नही होगा तो मैं अपने यहां का jio sim को एयरटेल पोर्ट करवा देंगे । सही तरीके से बात नही हो पाती ,तो नेट कहा से चलेगा 
My mobile no 8709821854"
239,"RT @NbtTech: जानें माइक्रोमैक्स के नए मोबाइल Micromax In 1 की कीमत और फीचर्स, कल है लॉन्चिंग
https://t.co/CmHuhvOeeQ https://t.co/fSPp9QgUT0"
240,"जानें माइक्रोमैक्स के नए मोबाइल Micromax In 1 की कीमत और फीचर्स, कल है लॉन्चिंग
https://t.co/CmHuhvOeeQ https://t.co/fSPp9QgUT0"
241,"@Micromax__India #Don #IN1 #INMobiles 

Market main bahut se mobile hai to ky hua #IN1 to #IN1 hain

#INdiaKeLiye @Micromax__India 

Join @RuchikaJain89 @Soni20k @Raghavendra0703  @montu13713 @sweetynsalt https://t.co/vLuNJxeh3z"
242,"@Micromax__India #Don #IN1 #INMobiles 
Mein bahut majboor hoon DSP
Normal display k mobile lene ki aadat mujhe bilkul nahi hai. Islie only #IN1 mere lie

#INdiaKeLiye @Micromax__India 

Tagging 💠@Ruchikajain89 💠@GauravP26479152   💠@Raghavendra0703 💠@Sweetynsalt  💠@Soni20k https://t.co/0jMLAGHtvg"
243,"@Micromax__India Mujhe Aur kisi company ka mobile phone ka Naam na dikhayi dete hain na sunai dete hain. Sirf ek  @Micromax__India   ka naam sunayi deta hai aur uska dumdar display,uska picture dikhai deta hai.
#IN1 #INMobiles #INdiaKeLiye #Don #MicromaxIsBack #INdiaKaNayaBlockbuster
@Priyaavni1"
244,"RT @imrohit23_: @Micromax__India ""Dekho Aaya Popo, Bovo Or Thiomi  Ki Lagane Aaya Waat. #InForIndia OP IN The Chat""🤳    

 #in1 #inmobiles…"
245,"@Micromax__India ""Dekho Aaya Popo, Bovo Or Thiomi  Ki Lagane Aaya Waat. #InForIndia OP IN The Chat""🤳    

 #in1 #inmobiles #INdiaKeLiye
 #micomaxisback #INdiaKaNayaBlockbuster @micromax_mobile"
246,"दमदार खूबियों के साथ लॉन्च होगा Micromax in 1, जानें क्या होंगी खूबियां
#micromax #micromaxin1
https://t.co/kSpPYiFaAc"
247,"@Micromax__India Agar sb mobile brand  janta ko Achhi phone deti hai ... toh @Micromax janta ko unse bhi accha phone denge aur wo bhi unse low price pr..
Jai hind🇮🇳🇮🇳🇮🇳
#Khiladi 
#micromax
@MadeInIndia"
248,"@Micromax__India Main ek baar dhande ke paise chhod sakta hoon ... par @micromax_mobile #IN1  nahi😂😂😂
 #INMobiles #INdiaKeLiye"
249,@Micromax__India Chinese mobiles wale bhains ke liye IN mobile wali lathi ki jarurat hoti hai ( dialog by khiladi )
250,"@Micromax__India Machli Ko mast tel mein fry karke khane ka aur #IN1 mobile ko aage badhane ka 

#GullyBoy #INMobiles #INdiaKeLiye 
@Micromax__India 🇮🇳"
251,"@Micromax__India Main Nahi Badalta Apna Sapna Apne Sachai Se Mel Khane Ke Vaaste … Main Apna Mobile Badlega #IN1 Se Joh Mere Sapne Se Mel Khaye
#GullyBoy #INMobiles #INdiaKeLiye
@Micromax__India"
252,"@Micromax__India Todh dunga har tarazu, 
Tu mujhe kya tolega...
Tere Chinese mobiles ki raid lag gayi,
Ab ye #Gaming mobile #India ka bolega 🇮🇳🇮🇳💪🏼💪🏼"
253,"@Micromax__India Tod dega har record, tu mujhe kya todega, sare mobile ki waat lag gayi , ab yeh sikka @Micromax__India  ka bolega.

#GullyBoy #IN1 #INMobiles #INdiaKeLiye"
254,"Kehne ko hum pass hai par kitni doori hai
Yeh bhi kaisi mazboori hai

Aao #In dooriyoan ke mitaye 
@Micromax__India
Ka mobile jeet jaaye

 #GullyBoy  #IN1
 #INMobiles #INdiaKeLiye https://t.co/mmq8b1UalI"
255,"@Micromax__India “Mohabbat main 2 tarha k gunahgaar hote hain, aik jo bewafa hote hain, aik jo bewafaa’on k liay #IN1 Mobile Gift kar Deti hain
#GullyBoy #IN1 
@Micromax__India"
256,"@Micromax__India Ye kya 🤔 ek hi degin ka mobile launch kar rhe #rahulsharma sir.
Ye new india hai to phir kuchh new degin bhi rhna chahiye n.😣😣😣😣🤷🤷🤷🤷🤷🤷🤷🤦🤦🤦🤦🤦"
257,"@Micromax__India Koi badi muraad agar sapne mein dikh jaye to uske liye try karne ka na?
IN1 mobile pasand ho to contest mein part lene ka na…

#GullyBoy #IN1 #INMobiles #INdiaKeLiye"
258,@Magroordevi_1 Ni sony k bad mobile use kr raha hun
259,"RT @aajtak: Samsung के 3 नए स्मार्टफोन्स लॉन्च, जानें इनमें क्या है खास 

https://t.co/2rdXRjAXFA"
260,"Samsung के 3 नए स्मार्टफोन्स लॉन्च, जानें इनमें क्या है खास 

https://t.co/2rdXRjAXFA"
261,"RT @kaviyarani1: Galaxy M12: 90Hz डिस्प्ले, 48MP कैमरा, 6000mAh बैटरी, कीमत 10,999, आज पहली सेल... via @aajtak https://t.co/K8Vf6gxCz7"
262,"@TechnicalGuruji @YouTubeIndia Thanks sir ji. Samsung ki mobile jo pahle bahot mahanga aata tha. Lekin ab jab redmi, realmi jaise phone ne in sabhi phone ka dam gira/kam kar diya hi. App aise hi video banate rhe aur swasth rhe. 

Nameste sir ji"
263,"Galaxy M12: 90Hz डिस्प्ले, 48MP कैमरा, 6000mAh बैटरी, कीमत 10,999, आज पहली सेल... via @aajtak https://t.co/K8Vf6gxCz7"
264,"Samsung के इस नए स्मार्टफोन को खरीदने का मौका आज, शुरुआती कीमत 10,999 रुपये 

https://t.co/PzBPAMKPRs"
265,Bara bura mobile nikaala hai wese samsung ne naya. Zra crush nahi hua
266,@iamrealbithi Samsung ka old mobile hai ghar mai to try karo.. Link ho jate hai account easily.. Old wale bhi
267,@Samsung_Ghana Sir ji maine samsung ka s10 mobile kharida tha jiska mother bord 1 saal me hi kharab ho chuka he company se kisi bhi parkar ki sahayta nahi he
268,@5fatima72 Yar aps ki bat hye main ne jb 1st time mobile ka kaha muje bhot kaha gya i phone le kr dete hain or main ne us ka button ni hota muje Samsung chaye 😂
269,@_intupintu Hahaha han apne kisi samsung main rakh k dena bomb us mobile ki yahi auqaat hai :p
270,"आ रहे सैमसंग के दो धांसू स्मार्टफोन, जानें कितनी होगी कीमत...

@SamsungMobile
@SamsungIndia
#SamsungUnpacked
#GalaxyA52
#galaxyA72

https://t.co/Gz7stbTZSD"
271,7 हज़ार रुपये सस्ता हुआ Samsung का गैलेक्सी F62 स्मार्टफोन  news in hindi https://t.co/5YulEILHEk
272,"नहीं लॉन्च होगा सैमसंग का ये धांसू स्मार्टफोन, कंपनी के सीईओ ने किया खुलासा 

@SamsungMobile 
@SamsungIndia 
#Samsung 

https://t.co/zQOGC9RHaj"
273,"yah @SamsungMobile @YouTubeIndia our @Google ka kya Gathbandhan Hai samajh Nahin Aata Yeh aid dikha dikha Kar Itna irritate kar dete Hain Ki dimag kharab ho jata hai Samsung mobile Lekar Mein To pachta hi raha hun lekin jo Lene Wale Hain vah Na Le to behtar hai
@SamsungIndia"
274,"RT @md_nadeem__07: *~¥❤️ आजकल😻 के👫 लड़किया भी 💔samsung 📱 के  💌mobile की💍 तरहा🌎 🔥 होगाए♥️¥~*

*~¥🙉बात 🔝बात  🙌 पर 😻hang🥰 होजाते😂🖐️¥~*"
275,"*~¥❤️ आजकल😻 के👫 लड़किया भी 💔samsung 📱 के  💌mobile की💍 तरहा🌎 🔥 होगाए♥️¥~*

*~¥🙉बात 🔝बात  🙌 पर 😻hang🥰 होजाते😂🖐️¥~*"
