,Unnamed: 0,hi,hi-en,len-hi,len-hi-en,translit
56,138,ऑव,ov,2,2,ोव
57,139,जी,ji,2,2,जी
58,140,के,je,2,2,जे
59,141,से,sr,2,2,सर
60,142,एनयू,nu,4,2,न
61,143,वो,wo,2,2,वो
62,145,व्,va,2,2,व
63,168,दूर,du,3,2,दू
64,179,तँ,ta,2,2,ता
65,170,का,ka,2,2,का
66,196,ऑन,on,2,2,ों
67,197,इस,is,2,2,इस
68,198,वह,vh,2,2,वः
69,199,के॰एस॰,ks,6,2,कस
70,200,उल,ul,2,2,उल
71,201,में,be,3,2,बे
72,202,वे,we,2,2,वे
73,203,दा,da,2,2,डा
74,194,एम्एस,ms,5,2,मस
75,204,उस,us,2,2,उस
76,206,पर,pr,2,2,पर
77,207,जब,jb,2,2,जब
78,208,इन,in,2,2,इन
79,209,री,ri,2,2,ऋ
80,211,एक,em,2,2,एम्
81,212,ओम,om,2,2,ॐ
82,213,पो,po,2,2,पो
83,214,और,ur,2,2,ुर
84,205,सीओ,co,3,2,सीओ
85,193,हे,he,2,2,हे
86,192,रॉ,ro,2,2,रो
87,191,फे,fe,2,2,फे
88,171,भी,bi,2,2,बी
89,172,ली,li,2,2,ली
90,173,१९२०के,ke,6,2,के
91,174,की,ki,2,2,की
92,176,सीएन,cn,4,2,कण
93,177,अब,ab,2,2,अब
94,178,नि,ni,2,2,नई
95,123,वो,vo,2,2,वो
96,180,एक्स,ax,4,2,अक्स
97,181,माई,my,3,2,माय
98,182,जो,jo,2,2,जो
99,183,यह,yh,2,2,यह
100,184,सेंट,st,4,2,सत
101,185,या,ya,2,2,या
102,186,आईपी,ip,4,2,िप
103,187,इट,it,2,2,आईटी
104,188,ओर,or,2,2,और
105,189,पे,pe,2,2,पे
106,190,ई,bc,1,2,बस
107,169,के,kr,2,2,क्र
108,122,में,mn,3,2,मन
109,162,नो,no,2,2,नो
110,120,एलटी,lt,4,2,लत
111,52,आलू,al,3,2,अल
112,53,गो,go,2,2,जो
113,54,डीडी,dd,4,2,दद
114,55,लिए,le,3,2,ले
115,57,टू,ti,2,2,टी
116,58,डबल्यू॰एस॰,ws,10,2,वस
117,59,वे,ve,2,2,वे
118,60,दे,de,2,2,दे
119,61,और,au,2,2,अउ
120,63,सीवी,cv,4,2,स्व
121,64,रोग,fo,3,2,फ़ो
122,65,में,en,3,2,ें
123,66,ष,sh,1,2,श
124,67,मन,ma,2,2,माँ
125,68,७वीं,vi,4,2,वि
126,69,एफए,fa,3,2,फ
127,70,एले,la,3,2,ला
128,71,सीएम,cm,4,2,कम
129,73,डॉ॰,dr,3,2,डॉ
130,51,ईद,id,2,2,ईद
131,74,पी॰जे॰,pj,6,2,पीजे
132,50,एनवाई,ny,5,2,न्य
133,46,एएच,ah,3,2,यह
134,121,डीएफ,df,4,2,डफ
135,27,जे॰पी॰,jp,6,2,जप
136,28,दो,do,2,2,दो
137,29,एक,ea,2,2,या
138,30,आम,am,2,2,ऍम
139,31,पी॰टी॰,pt,6,2,पट
140,32,पर,pa,2,2,प्
141,33,एस॰एस॰,ss,6,2,स
142,34,एड,ed,2,2,एड
143,35,पी॰बी॰,pb,6,2,पब
144,37,डिग्री,dg,6,2,डग
145,38,एक,el,2,2,ेल
146,39,बन,bn,2,2,बन
147,40,सपा,sp,3,2,सप
148,41,आए,ae,2,2,ऐ
149,42,यूके,uk,4,2,ुक
150,43,सब,sb,2,2,सब
151,44,वी०,vp,3,2,वप
152,45,मिल,il,3,2,िल
153,47,ई,ad,1,2,अड़
154,75,मी,mi,2,2,मि
155,48,एक,ej,2,2,ेज
156,77,अजा,aj,3,2,आज
157,100,सी,si,2,2,सी
158,101,मे,me,2,2,में
159,102,उड़,ud,3,2,उड़
160,103,बो,bo,2,2,बो
161,105,यूवी,uv,4,2,उव
162,106,उन,un,2,2,उन
163,107,जे॰जे॰,jj,6,2,जज
164,109,एचटी,ht,4,2,हट
165,110,ख,kh,1,2,कह
166,111,आ,aa,1,2,आ
167,112,वीसी,vc,4,2,वक
168,113,पीएल,pl,4,2,पल
169,114,च,ch,1,2,च
170,115,ड६के,dk,4,2,डीके
171,116,गा,ga,2,2,गए
172,117,उप,up,2,2,उप
173,118,आप,ap,2,2,आप
174,76,र,ra,1,2,रा
175,119,से,se,2,2,से
176,99,ई,ee,1,2,ी
177,98,एफ़एल,fl,5,2,फल
178,108,ईसं,es,3,2,इस
179,97,टीवी,tv,4,2,टीवी
180,78,थ़,th,2,2,तह
181,79,डब्ल्यूयू,wu,9,2,व
182,80,दी,di,2,2,दी
183,81,तू,tu,2,2,तू
184,82,सू,su,2,2,सु
185,83,यू,yu,2,2,यु
186,85,जा,ja,2,2,जा
187,86,सीई,ce,3,2,के
188,87,डीजे,dj,4,2,दज
189,84,ओप,op,2,2,आप
190,89,यूयू,uu,4,2,ू
191,90,कि॰मी॰,km,6,2,कम
192,91,मिमी,mm,4,2,मम
193,92,और,ar,2,2,ार
194,93,पी,pi,2,2,पि
195,94,टीटी,tt,4,2,तट
196,88,हू,hu,2,2,हु
197,96,अत,at,2,2,ात
198,95,आ१सी,ac,4,2,एक
199,782,टन,ton,2,3,टन
200,791,ज़ी,zee,3,3,ज़ी
201,789,आइल,oil,3,3,आयल
202,788,बल,val,2,3,वाल
203,784,बह,beh,2,3,बह
204,785,जम,jam,2,3,जैम
205,783,लड़,lad,3,3,लड़
206,792,रूज,ruj,3,3,रोज
207,786,गुण,gun,3,3,गन
208,793,तोड़,tod,4,3,तोड़
209,802,झोऊ,zou,3,3,जो
210,796,ली,lee,2,3,ली
211,797,नाड,nad,3,3,नाड
212,798,प्यू,pew,4,3,पिउ
213,799,एबीसी,abc,5,3,एब्स
214,800,एमएफपी,mfp,6,3,ंफप
215,801,कब,kab,2,3,कब
216,804,अस्,asa,3,3,असा
217,803,सर,sar,2,3,सर
218,805,आस,aas,2,3,आस
219,781,रही,rhi,3,3,रही
220,795,आला,ala,3,3,अला
221,780,वेद,ved,3,3,वेद
222,759,आये,aye,3,3,ए
223,778,लिए,iye,3,3,िये
224,755,होड़,hod,4,3,होड़
225,806,आलू,alu,3,3,आलू
226,756,ज़ोर,zor,4,3,ज़ोर
227,757,रूज़,ruz,4,3,रोज़
228,760,जेन,jen,3,3,जेन
229,761,नेट,net,3,3,नेट
230,762,बीज,bij,3,3,बीज
231,763,देश,dsh,3,3,दश
232,764,बीर,bir,3,3,बीर
233,765,राज,raj,3,3,राज
234,779,लिट्,lit,4,3,लिट्
235,766,तब,tan,2,3,तन
236,768,आर्प,arp,4,3,आप
237,769,मैक्स,max,5,3,मैक्स
238,770,टॉम,tom,3,3,टॉम
239,771,यूल,yul,3,3,यूल
240,772,कोई,koi,3,3,कोई
241,773,ईदू,idu,3,3,इदु
242,774,सौ,sau,2,3,सौ
243,775,पर,oar,2,3,ओर
244,776,गुट,gut,3,3,गट
245,777,गुम,gum,3,3,गम
246,767,रेत,ret,3,3,रेट
247,807,फेन,fen,3,3,फें
248,854,डाक,dak,3,3,डाक
249,809,हिल,hil,3,3,हिल
250,837,था,tha,2,3,था
251,838,तम,tam,2,3,ताम
252,839,मेर,mer,3,3,मेर
253,840,अन्य,any,4,3,अन्य
254,841,बीबीसी,bbc,6,3,बीबीसी
255,842,काल,kal,3,3,कल
256,843,था,taa,2,3,टा
257,845,क्र,kra,3,3,करा
258,846,ैम्ड,imd,4,3,िंद
259,848,द्वारा,dwr,6,3,डर
260,849,क्या,lya,4,3,लय
261,850,ऑव,auv,2,3,ऑव
262,851,सीएसआई,csi,6,3,कसी
263,852,एमी,ami,3,3,एमी
264,853,पेड़,ped,4,3,पेड़
265,856,लौ,lau,2,3,लौ
266,857,केजीएम,kjm,6,3,कजम
267,858,हेज,hez,3,3,हेज़
268,859,अत,ath,2,3,आठ
269,860,विए,via,3,3,वाया
270,754,मोन,mon,3,3,में
271,836,एडी,edi,3,3,यदि
272,835,झामुमो,jmm,6,3,जम्म
273,834,ओडीए,oda,4,3,ोडा
274,833,को,kko,2,3,कको
275,810,जेल,gel,3,3,जेल
276,811,ला,laa,2,3,ला
277,812,जा,jaa,2,3,जा
278,813,टेड,ted,3,3,टेड
279,814,अब्द,abd,4,3,अब्द
280,815,एएसआई,asi,5,3,ऐसी
281,816,वाई,wai,3,3,वे
282,817,सुई,sui,3,3,सुई
283,818,फूंक,fuk,4,3,फुक
284,819,आईएएस,ias,5,3,आईएएस
285,808,मत,mat,2,3,मत
286,820,एपीएन,apn,5,3,अपन
287,822,	,nan,1,3,नान
288,823,एमटीवी,mtv,6,3,मत्व
289,824,पैट,pat,3,3,पैट
290,825,आर्टे,art,5,3,आर्ट
291,826,आ,aya,1,3,आया
292,828,हट,hut,2,3,हूत
293,829,सीआईएम,cim,6,3,किम
294,830,हाल,hal,3,3,हल
295,831,इति,iti,3,3,आईटीआई
296,832,आईएमएस,ims,6,3,िम्स
297,821,अंत,ant,3,3,अंत
298,753,लिए,lye,3,3,लये
299,646,जिस,jis,3,3,जिस
300,751,इरा,ira,3,3,िरा
301,673,निक,nik,3,3,निक
302,674,बॉब,bob,3,3,बॉब
303,675,६९,sep,2,3,सेप
304,676,है,hai,2,3,है
305,677,सदा,sad,3,3,साद
306,678,ओसीडी,ocd,5,3,ॉड
307,679,हुए,hue,3,3,हुए
308,680,तय,tay,2,3,तय
309,681,पेट,pet,3,3,पेट
310,682,लोग,lof,3,3,लॉफ
311,683,यूँ,yun,3,3,यूँ
312,684,आईआरसी,irc,6,3,िर्क
313,686,पों,pon,3,3,पों
314,687,तुम,tum,3,3,तुम
315,688,किस,kis,3,3,किस
316,689,दिल,dil,3,3,दिल
317,690,आह,aah,2,3,आह
318,691,नई,nai,2,3,नै
319,692,तर,tar,2,3,तर
320,693,नदी,ndi,3,3,नदी
321,694,१०१०,oct,4,3,ॉट
322,672,टी,tea,2,3,टिया
323,671,सिड,sid,3,3,सीड
324,670,छ,chh,1,3,छह
325,669,क्ले,kle,4,3,क्ले
326,645,जीएसटी,gst,6,3,गस्त
327,861,लिन,lin,3,3,लीन
328,647,एएमयू,amu,5,3,अमु
329,649,रैप,rap,3,3,रैप
330,650,बेड़ू,bed,5,3,बीएड
331,651,फिट,fit,3,3,फिट
332,652,रोल,rol,3,3,रोल
333,654,वेद,wed,3,3,वेद
334,655,रूस,rus,3,3,रूस
335,656,कह,kah,2,3,कह
336,695,दिए,die,3,3,दिए
337,657,दस,dus,2,3,दस
338,659,सीएफसी,cfc,6,3,कफ्स
339,660,उसे,use,3,3,उसे
340,661,उनको,uko,4,3,ुको
341,662,फ्लू,flu,4,3,फ्लू
342,663,खुद,khu,3,3,खु
343,664,फिल,fil,3,3,फील
344,665,यह,yan,2,3,यान
345,666,योर,yor,3,3,ओर
346,667,सीबीएस,cbs,6,3,कब्स
347,668,जाए,jae,3,3,जाए
348,658,मोर,mor,3,3,मोर
349,696,आम,aam,2,3,आम
350,697,वोट,vot,3,3,वोट
351,698,तेल,tel,3,3,तेल
352,727,आग,aag,2,3,आग
353,728,आओ,aao,2,3,आओ
354,729,सब,sab,2,3,सब
355,730,डैन,dan,3,3,दान
356,731,वन,van,2,3,वन
357,732,नोट,not,3,3,नॉट
358,733,लाई,lai,3,3,ले
359,734,पर,par,2,3,पर
360,735,एनएसी,nac,5,3,नाक
361,736,शु,shu,2,3,शु
362,726,लेन,len,3,3,लें
363,737,अबू,abu,3,3,अबू
364,740,बोस,bos,3,3,बोस
365,741,क्यु,kyu,4,3,क्यों
366,742,सिड,syd,3,3,सिड
367,743,उड़ा,uda,4,3,उदा
368,745,जाने,jne,4,3,जने
369,746,उग्र,ugr,4,3,उग्र
370,747,जेट,jet,3,3,जेट
371,748,रॉड,rod,3,3,रोड
372,749,येर,yer,3,3,येर
373,750,धी,dhi,2,3,दही
374,738,एल्दो,ado,5,3,अदो
375,752,राई,rai,3,3,राइ
376,725,इयान,ian,4,3,ीान
377,723,ती,tee,2,3,टी
378,699,सूट,sut,3,3,सूत
379,700,सीआईसी,cic,6,3,किस
380,701,शो,sho,2,3,शो
381,702,वेग,veg,3,3,वेग
382,703,दादा,dad,4,3,डैड
383,704,देह,deh,3,3,देह
384,705,कोट,kot,3,3,कोट
385,706,दल,dal,2,3,दाल
386,707,आउट,out,3,3,आउट
387,708,जज,jaj,2,3,जज
388,724,एक,eek,2,3,ीक
389,709,बेन,ben,3,3,बेन
390,711,खा,kha,2,3,खा
391,712,डीएमसी,dmc,6,3,डीएमसी
392,713,रह,reh,2,3,रह
393,714,सेम,sem,3,3,सेम
394,715,जय,jay,2,3,जय
395,718,चे,che,2,3,छे
396,719,रत,rat,2,3,रत
397,720,गोर,gor,3,3,गौर
398,721,को,lko,2,3,लको
399,722,रो,rho,2,3,रो
400,710,होता,hot,4,3,हॉट
401,862,लिपि,lip,4,3,लिप
402,972,प्यार,pyr,5,3,पैर
403,865,डर,dar,2,3,दर
404,1004,इचे,ich,3,3,िच
405,1005,ब्लू,blu,4,3,ब्लू
406,1006,अंग,ang,3,3,अंग
407,1007,आप,aap,2,3,आप
408,1008,अस्त,ast,4,3,अस्त
409,1009,सात,sat,3,3,सात
410,1010,लोग,log,3,3,लोग
411,1011,तिल,til,3,3,टिल
412,1012,मांस,mas,4,3,मास
413,1013,खून,khn,3,3,खन
414,1014,ज़ोर,jor,4,3,जोर
415,1015,रस,ras,2,3,रास
416,1016,एम॰एससी॰,msc,8,3,एमएससी
417,1017,गोह,goh,3,3,गोह
418,1018,लेप,lep,3,3,लेप
419,1019,वार,var,3,3,वर
420,1020,मेल,mel,3,3,मेल
421,1021,देर,der,3,3,देर
422,1022,तोल,tol,3,3,टोल
423,1023,डेस,des,3,3,देस
424,1024,शिया,xia,4,3,सीए
425,1003,तोर,tor,3,3,तोर
426,1002,डेल,del,3,3,देल
427,1001,सह,sah,2,3,सह
428,1000,गिर,gir,3,3,गिर
429,978,कुआँ,kua,4,3,कुआ
430,979,हम,hum,2,3,हम
431,980,सीडब्ल्यूसी,cwc,11,3,कवक
432,981,माह,mah,3,3,माह
433,982,लोज,loj,3,3,लॉज
434,983,ओरु,oru,3,3,ोरु
435,984,नोंक,nok,4,3,नोक
436,985,में,mei,3,3,में
437,986,वेई,wei,3,3,वे
438,987,आय,aay,2,3,आय
439,1025,आने,ane,3,3,आने
440,988,दूत,dut,3,3,दूत
441,990,बेट,bet,3,3,बेट
442,991,ऋण,run,2,3,रन
443,992,एक,aek,2,3,एक
444,993,जुड़,jud,4,3,जुड़
445,994,गॉट,got,3,3,गोत
446,995,ही,hii,2,3,ही
447,996,गौ,gau,2,3,गौ
448,997,डॉ॰एन,drn,5,3,डॉन
449,998,वा,vaa,2,3,वा
450,999,सौर,sur,3,3,सुर
451,989,देवी,eve,4,3,ईव
452,1026,रेने,ren,4,3,रेन
453,1027,बस,bus,2,3,बस
454,1028,ऍक्स,axe,4,3,ऐसे
455,1056,डोम,dom,3,3,डॉम
456,1057,इसी,isi,3,3,इसी
457,1058,तेज,tez,3,3,तेज़
458,1059,रूप,ruo,3,3,रुओ
459,1060,ताओ,tao,3,3,ताओ
460,1061,रॉय,roy,3,3,रॉय
461,1062,मल,mal,2,3,मॉल
462,1063,ओले,ole,3,3,ओले
463,1064,की,kii,2,3,की
464,1065,केब,keb,3,3,कब
465,1055,वाॅन,von,4,3,वो
466,1066,मुह,muh,3,3,मुँह
467,1068,एंड,aid,3,3,अिध
468,1070,जब,jab,2,3,जब
469,1071,झा,jha,2,3,झा
470,1072,हम,ham,2,3,हम
471,1073,भूः,bhu,3,3,भू
472,1074,प्रो॰,pro,5,3,प्रो
473,1075,यह,yah,2,3,यह
474,1076,तीस,tis,3,3,तिस
475,1077,फिर,fir,3,3,फिर
476,1078,अगस्त,aug,5,3,ौग
477,1067,उत्स,uts,4,3,उत्स
478,977,लाए,lae,3,3,लाए
479,1054,कस,kas,2,3,कास
480,1052,कार,car,3,3,कार
481,1029,दिन,din,3,3,दिन
482,1030,वह,vah,2,3,वह
483,1032,वेल,vel,3,3,वेळ
484,1033,उमा,uma,3,3,उमा
485,1034,टीम,tim,3,3,टीम
486,1035,नूत,nut,3,3,नुत
487,1036,बोल,bol,3,3,बोल
488,1037,वीज,vij,3,3,विज
489,1038,फेल,fel,3,3,फेल
490,1039,हिस,his,3,3,हिज
491,1053,नही,nhi,3,3,नहीं
492,1040,आते,ata,3,3,अत
493,1042,पों,pom,3,3,पोम
494,1043,की,kki,2,3,ककी
495,1044,कम,kam,2,3,काम
496,1045,में,men,3,3,में
497,1046,लग,lag,2,3,लग
498,1047,आयु,ayu,3,3,आयु
499,1048,मेम,mem,3,3,मेम
500,1049,पर,oae,2,3,ोै
501,1050,ओडीआई,odi,5,3,यदि
502,1051,मार,mar,3,3,मर
503,1041,हुई,hio,3,3,हिओ
504,864,सू,soo,2,3,सू
505,976,थे,the,2,3,थे
506,974,इनको,iko,4,3,इको
507,894,अकी,aki,3,3,ाकि
508,895,आर्क,ark,4,3,आरक
509,896,पर,pwr,2,3,पर
510,897,रह,rah,2,3,रह
511,898,अदा,ada,3,3,ऐडा
512,899,सम,sam,2,3,सैम
513,900,राम,ram,3,3,राम
514,901,रूप,rup,3,3,रूप
515,902,गल,gal,2,3,गाल
516,903,प्रॉप,pop,5,3,पॉप
517,904,रोज,roj,3,3,रोज
518,905,जीव,jiv,3,3,जिव
519,906,तक,taj,2,3,ताज
520,907,याद,yad,3,3,यद्
521,908,हौ,hau,2,3,हाउ
522,909,पीवाईएल,pyl,7,3,पील
523,910,जल,jal,2,3,जल
524,911,बल,bal,2,3,बल
525,912,कैन,can,3,3,कैन
526,913,रीव,riv,3,3,रिव
527,914,एलएलसी,llc,6,3,ललक
528,893,शो,shi,2,3,सही
529,892,पाक,pak,3,3,पाक
530,891,बनी,bni,3,3,बनी
531,890,देय,dey,3,3,डे
532,866,अंक,ank,3,3,अंक
533,867,वाद,vad,3,3,वाद
534,868,तप,tap,2,3,तप
535,869,लाओ,lao,3,3,लाओ
536,870,यूडीपी,udp,6,3,ुड़प
537,871,लॉ,law,2,3,लॉ
538,872,पा,paa,2,3,पा
539,873,दाऊ,dau,3,3,डॉ
540,874,वास,vas,3,3,वस्
541,875,पीर,pir,3,3,पीर
542,915,इट्स,its,4,3,इतस
543,876,पद,pad,2,3,पद
544,878,नट,nat,2,3,नट
545,880,एवं,evm,3,3,एवं
546,882,केजीएम,kgm,6,3,केजीएम
547,883,बिल,bil,3,3,बिल
548,884,आत्म,atm,4,3,एटीएम
549,885,उक्त,ukt,4,3,उक्त
550,886,मऊ,mau,2,3,मौ
551,887,पर,per,2,3,पैर
552,888,पुल,pul,3,3,पल
553,889,पास,pas,3,3,पास
554,877,मिट,mit,3,3,मिट
555,916,गैस,gas,3,3,गैस
556,917,कि,kri,2,3,कृ
557,918,उर्फ,urf,4,3,उर्फ़
558,951,कट,cut,2,3,कट
559,952,दूर,dur,3,3,दूर
560,953,रन,ran,2,3,राण
561,954,छ,cha,1,3,च
562,955,ज़ुर,zur,4,3,ज़ुर
563,956,भी,bhi,2,3,भी
564,957,लोप,lop,3,3,लोप
565,958,यह,yeh,2,3,यह
566,959,है,hia,2,3,हिअ
567,960,कोर,kor,3,3,कोर
568,950,आइल,ile,3,3,िले
569,961,वार,war,3,3,वॉर
570,963,रॉ,raw,2,3,रॉ
571,964,कर,kar,2,3,कर
572,965,यम,yam,2,3,याम
573,967,उन,uin,2,3,ुएँ
574,968,इंक,ink,3,3,इंक
575,969,तल,tal,2,3,ताल
576,970,गण,gan,2,3,गैन
577,971,रॉब,rob,3,3,रॉब
578,644,पूस,pus,3,3,पूस
579,973,सह,seh,2,3,सेह
580,962,होती,hoi,4,3,होइ
581,975,अन्न,ann,4,3,अन्न
582,949,पल,pal,2,3,पल
583,947,वह,veh,2,3,वह
584,919,सेन,sen,3,3,सेन
585,920,दस,das,2,3,दस
586,921,फाड़,fad,4,3,फाड्
587,922,पीवीसी,pvc,6,3,पवस
588,923,कोक,kok,3,3,कोक
589,926,एलटीए,lta,5,3,लता
590,927,हर,har,2,3,हर
591,928,ऋण,rin,2,3,ऋण
592,929,ऐश,ash,2,3,ऐश
593,930,लिए,lue,3,3,लुए
594,948,डे,day,2,3,डे
595,931,यू,you,2,3,यू
596,934,हो,jho,2,3,जो
597,935,ज्यों,jyo,5,3,जो
598,937,सोम,som,3,3,सोम
599,938,त्यों,tyo,5,3,त्यों
600,939,फल,fal,2,3,फल
601,940,एवं,evn,3,3,एवं
602,941,की,key,2,3,के
603,942,यूएसए,usa,5,3,उसे
604,943,ईंट,int,3,3,िनत
605,946,टब,tub,2,3,टब
606,932,पेन,pen,3,3,पेन
607,643,आए,aae,2,3,आए
608,863,स्ली,sle,4,3,सले
609,640,सदी,sai,3,3,साई
610,348,यह,tah,2,3,तह
611,349,वह,wah,2,3,वह
612,350,बाज,baj,3,3,बज
613,351,ताई,tai,3,3,तै
614,352,क्यों,kyo,5,3,क्यों
615,353,जौ,jau,2,3,जाऊ
616,354,माप,map,3,3,मैप
617,355,जों,jon,3,3,जॉन
618,356,एमबीऐ,mba,5,3,ब
619,358,जेव,jev,3,3,जीव
620,359,देव,dev,3,3,देव
621,360,मोड,mod,3,3,मोड़
622,361,रुई,rui,3,3,रुई
623,362,जय,jai,2,3,जय
624,363,तब,tab,2,3,तब
625,364,वीं,vim,3,3,वीम
626,365,नौ,nau,2,3,नौ
627,366,एमआरआई,mri,6,3,मृ
628,367,ही,hee,2,3,ही
629,368,एंड,end,3,3,एन्ड
630,369,नील,nil,3,3,निल
631,347,गई,gai,2,3,गई
632,346,जून,jun,3,3,जून
633,345,इसके,isk,4,3,इसक
634,344,इन,ina,2,3,इना
635,321,हद,had,2,3,हद
636,322,बह,bah,2,3,बाह
637,323,ऐक्ट,act,4,3,एक्ट
638,324,असल,sal,3,3,साल
639,325,ऑफ़,ofa,3,3,ऑफ़
640,326,वीं,win,3,3,विन
641,327,मई,mai,2,3,मई
642,328,गिल,gil,3,3,गिल
643,329,से,sse,2,3,से
644,330,रॉक,rok,3,3,रोक
645,370,वन,one,2,3,ओने
646,331,होते,hoe,4,3,होए
647,333,आदि,adi,3,3,अदि
648,334,आले,ale,3,3,अले
649,335,जुट,jut,3,3,जुट
650,336,तक,tak,2,3,तक
651,337,२०१०की,kee,6,3,की
652,338,लाल,lal,3,3,लाल
653,339,कान,kan,3,3,कण
654,341,पर,pae,2,3,पाए
655,342,एलो,elo,3,3,एलो
656,343,या,yat,2,3,यात
657,332,होता,hoa,4,3,होआ
658,372,नई,nii,2,3,नई
659,373,लोग,loh,3,3,लोह
660,374,अपनी,ani,4,3,अणि
661,402,फ़न,fan,3,3,फैन
662,403,बाद,bad,3,3,बाद
663,404,सोल,sol,3,3,शोल
664,405,टूट,tut,3,3,टूट
665,406,डीओडी,dod,5,3,दौड़
666,407,ऐसी,ais,3,3,ऐस
667,408,आई,aai,2,3,आई
668,409,फिर,for,3,3,फॉर
669,410,लॉस,los,3,3,लॉस
670,411,हों,hon,3,3,हों
671,401,बन,ban,2,3,बन
672,412,हुई,hui,3,3,हुई
673,414,ऐन,yen,2,3,येन
674,415,लेज,lej,3,3,लेज
675,416,एरा,era,3,3,एरा
676,417,ओईएम,oem,4,3,ओईएम
677,418,हुऐ,huy,3,3,हुए
678,419,साओ,sao,3,3,साओ
679,420,पी,pee,2,3,पी
680,421,माए,mae,3,3,मए
681,423,बिक,bik,3,3,बिक
682,424,बुरे,bur,4,3,बुर
683,413,अुर,aur,3,3,और
684,320,बीबीक्यू,bbq,8,3,बबक
685,400,बार,bar,3,3,बार
686,398,सीबीआई,cbi,6,3,सीबीआई
687,375,ज़िले,jil,5,3,जिल
688,376,इसे,ise,3,3,इसे
689,377,की,kik,2,3,किक
690,378,भा,bha,2,3,भ
691,379,एयर,air,3,3,एयर
692,380,पीएच॰डी॰,phd,8,3,पीएचडी
693,381,रहा,rha,3,3,रहा
694,382,एक,eka,2,3,एक
695,383,फंड,fud,3,3,फ़ूड
696,384,अब,aba,2,3,ए.बी.ए.
697,399,सेल,sel,3,3,सेल
698,385,जाता,jat,4,3,जाट
699,387,राव,rao,3,3,रओ
700,388,न्यू,nyu,4,3,न्यू
701,389,मीर,mir,3,3,मीर
702,390,क्रेन,ken,5,3,केन
703,391,प्रेम,prm,5,3,परम्
704,392,आइऍमई,imi,5,3,िमि
705,394,आना,ana,3,3,आना
706,395,एवं,avn,3,3,एवं
707,396,रोग,reo,3,3,रेओ
708,397,रेल,rel,3,3,रेल
709,386,कुल,kul,3,3,कुल
710,425,नाम,nam,3,3,नाम
711,319,अबी,abi,3,3,अभी
712,316,हुआ,hya,3,3,ह्या
713,240,जिम,jim,3,3,जिम
714,241,या,yaa,2,3,या
715,242,विजिए,vga,5,3,वगा
716,243,गए,gay,2,3,गे
717,244,एसडीएफ,sdf,6,3,सदफ
718,245,फोन,fon,3,3,फोन
719,246,हिट,hit,3,3,हिट
720,247,स्काई,sky,5,3,स्काई
721,248,गोवा,goa,4,3,गोवा
722,249,ऐट,yet,2,3,येत
723,250,जग,jag,2,3,जग
724,251,डेप,dep,3,3,डेप
725,252,दाग,dag,3,3,डेग
726,253,सेब,seb,3,3,सेब
727,254,सुड,sud,3,3,सूद
728,255,केप,kep,3,3,कि
729,256,काट,kat,3,3,काट
730,257,उस,uss,2,3,उस
731,258,कोण,kon,3,3,कोण
732,259,किए,kie,3,3,किए
733,261,२९९वें,ven,6,3,वे
734,239,वायु,wau,4,3,वो
735,238,रहे,rhe,3,3,रहे
736,237,एवम,avm,3,3,एवं
737,236,ऑव,aav,2,3,आव
738,642,जीत,jit,3,3,जित
739,215,सा,saa,2,3,सा
740,216,दिक्,dik,4,3,दिक्
741,217,एसे,ese,3,3,ऐसे
